# logM_cut, logM_1, logsigma, alpha, kappa
12.42788,13.53829,-1.44027,0.87568,0.65397
12.88750,13.77791,-2.56902,1.45530,0.26863
13.26424,14.13342,-1.47414,1.08141,1.43909
12.57254,14.01086,-1.57574,1.22189,0.18879
12.63685,13.93723,-2.27982,1.36284,0.42496
12.77121,13.69871,-0.62534,0.80483,0.85477
12.50707,14.39996,-0.77710,1.38700,0.59893
13.28053,13.72369,-2.24306,1.44191,1.26083
13.02727,13.57102,-2.08497,1.27446,0.17126
12.68840,14.17778,-1.23407,1.43038,0.18174
12.77938,14.21368,-1.73745,0.99507,0.19507
12.63967,14.10373,-2.99123,0.96458,1.03683
12.45891,13.69312,-0.65375,0.90618,0.33860
12.40408,13.76725,-1.15869,0.79717,0.08384
12.63370,13.83728,-0.67269,0.81591,1.19720
13.12545,14.32306,-0.24966,1.38031,1.30983
12.75384,13.94665,-1.56097,0.97293,0.09442
13.11866,13.97332,-1.45794,1.30317,1.26766
12.64477,13.34434,-2.06872,0.70483,0.44556
12.63785,14.20356,-1.31160,1.49678,1.27716
12.63668,14.16088,-1.97765,0.92018,0.13189
12.48862,14.17034,-2.21744,1.45236,0.27020
12.53676,13.99070,-1.78451,1.23837,1.26221
12.87953,14.36726,-1.50214,1.46833,1.02251
12.82409,13.31359,-2.17455,1.06032,0.50827
13.18491,13.46357,-0.08999,0.77194,0.09820
13.12156,14.23187,-0.62808,1.16415,0.68682
12.74428,13.85793,-2.80422,1.49418,0.87566
12.73944,14.30134,-1.88695,0.73370,1.01759
13.21027,14.14397,-1.51087,1.19626,0.95790
12.40749,13.31334,-2.01154,0.95018,0.35971
12.54114,14.08214,-1.09404,1.14520,1.19368
13.02385,13.32106,-0.21104,0.75893,0.90090
12.83283,14.38938,-1.93588,1.48807,0.73038
12.97288,13.32254,-1.13638,1.22871,1.15808
13.04149,13.38470,-0.55591,0.73733,0.33987
12.64406,13.76677,-0.09737,1.14870,0.46100
12.92527,13.76932,-1.06281,1.39401,1.49772
13.14779,14.18900,-1.39661,0.98352,0.99570
12.53986,14.05939,-0.03164,0.87549,0.56641
12.88192,13.44104,-1.86010,0.73267,0.57976
13.25258,13.27247,-0.55961,0.79834,1.19695
12.65019,14.25969,-0.21307,0.86730,0.58163
12.81325,13.80935,-0.44370,1.23931,0.98217
13.00944,13.34539,-0.58678,1.03834,0.94913
13.26115,13.23080,-2.68431,1.02556,0.15598
12.99656,13.65351,-1.75993,0.92839,0.53145
13.05799,13.47898,-0.98089,0.74694,0.38682
12.61708,13.49829,-1.25185,1.09412,0.29443
13.09200,14.21811,-2.04558,1.19851,0.59557
12.56583,13.97270,-2.87975,0.92975,0.47651
12.94896,13.29498,-2.90071,1.35990,1.44451
13.11618,13.90537,-1.03180,1.44976,1.41800
12.59072,14.15072,-2.07071,1.25152,1.33922
13.21957,14.23028,-2.43646,1.07220,0.94607
13.28772,13.68760,-0.38510,1.11426,0.05930
12.60065,13.73714,-0.80728,1.01034,0.51011
12.72161,13.23827,-0.58021,1.34051,0.46205
12.93525,13.46389,-2.89787,1.20555,0.02378
12.78327,14.27051,-2.98615,1.39831,0.19280
12.61383,13.51534,-1.13782,0.83311,0.95557
12.88798,13.33764,-2.57675,1.31975,1.39884
12.78846,13.44288,-2.12421,1.42955,0.73292
12.44962,13.74862,-1.01425,1.22263,0.43598
12.52518,13.74469,-0.19378,0.75102,0.10834
12.49655,13.51767,-2.00176,1.47413,0.98595
13.14714,14.33608,-2.02276,1.03106,0.79685
12.94008,13.97560,-2.84626,1.16766,0.61863
13.01043,13.83463,-2.77539,1.18121,1.49332
12.95465,13.27279,-2.44447,0.95634,0.23266
13.23540,13.82371,-0.37792,1.30954,1.47244
12.41411,14.14230,-1.11457,0.82308,0.18009
12.50741,13.31231,-2.25065,1.02644,1.02873
12.77385,14.03126,-2.83551,0.88967,0.08274
13.01842,14.25795,-1.83974,0.88214,0.78094
12.57434,13.88518,-0.83784,1.33150,0.77208
12.55459,13.78375,-0.99527,0.86340,0.15072
12.71510,13.59526,-2.89711,0.86412,0.72851
12.43557,13.22532,-0.91590,0.85583,0.63574
12.44514,14.13632,-2.21312,1.30326,1.24561
13.02678,14.26802,-0.70277,0.87734,1.41260
13.21268,13.96963,-0.08562,1.23215,0.72374
