# logM_cut, logM_1, logsigma, alpha, kappa
12.93722,13.54329,-1.20466,1.44395,0.12496
12.41256,14.04358,-0.98346,1.03352,0.74390
12.62547,14.05520,-1.98402,1.09009,0.37173
12.73423,13.49380,-0.45420,0.70801,1.17135
12.52640,13.28576,-1.63264,1.15001,0.11500
12.68984,14.28630,-1.80158,1.24791,1.15959
13.01678,14.32055,-0.56441,1.40129,1.24489
12.49156,13.36108,-1.29718,0.84723,1.19167
12.87934,13.67707,-2.50754,0.79056,0.44892
13.13497,14.00455,-0.18487,1.10119,1.48636
13.18953,13.59016,-0.67114,1.47688,1.08196
12.45971,13.67330,-2.63614,1.38373,1.04168
13.23135,13.36381,-2.84202,1.15489,1.02064
12.93820,14.02335,-0.11474,1.31712,0.48972
13.14977,13.64540,-0.35150,1.29062,0.27920
12.93030,13.34332,-0.38205,1.27604,1.11677
12.68774,14.35715,-0.54264,1.28876,0.68857
13.14857,13.28154,-2.26435,1.36460,0.96599
12.52366,13.54810,-2.94689,1.44413,1.41308
13.07006,13.98616,-0.15866,0.70900,1.33208
12.93266,14.06310,-2.23823,1.22983,1.26046
12.47221,13.45995,-2.34667,1.35922,1.41658
13.03346,13.82641,-0.01903,1.14456,0.24296
12.97356,14.12812,-0.08948,0.78945,0.03473
12.44255,14.29691,-1.69285,0.92496,0.96732
13.08973,13.96265,-2.77394,0.91480,0.09311
12.41864,13.91425,-2.73763,0.95986,1.02310
13.18977,13.28295,-1.20019,0.78660,0.24421
13.25382,13.33897,-2.75899,1.40981,1.25010
12.74064,13.21774,-0.57129,0.84273,0.80113
13.29196,13.84359,-0.61977,1.36392,0.65587
13.12744,13.37658,-1.62466,1.23392,1.10390
12.74224,13.87840,-2.18965,1.38384,0.72774
12.77406,13.67027,-2.55279,1.04464,1.04388
12.72604,14.14278,-1.48192,1.34300,0.60732
12.44833,13.20504,-2.45921,1.15498,0.49604
12.50506,14.15528,-2.45222,0.99139,1.49509
12.40191,14.12271,-1.62704,0.91508,0.27840
13.16597,14.39511,-1.22117,1.23054,0.24891
12.68459,13.36950,-0.34362,0.89172,0.89368
12.72236,14.04393,-1.29519,1.48253,0.61325
12.86920,13.54377,-1.92217,1.24758,1.00444
13.06548,13.97319,-1.95182,0.72431,0.33406
13.22750,13.64673,-2.84665,0.74617,1.38128
13.23934,13.38973,-2.71539,1.36999,0.23879
12.55580,14.01196,-1.51467,1.08885,0.27319
12.79071,14.29380,-2.90538,0.79676,1.25822
13.06400,13.58472,-2.20143,1.37711,0.05980
12.55227,13.25528,-2.81687,0.75669,0.51094
12.84205,13.82131,-1.78925,1.00800,0.75183
12.94141,13.59745,-2.45965,1.42640,1.28755
12.64774,14.33342,-0.73462,0.81890,0.82057
13.23100,13.37356,-1.43523,0.93357,0.93966
12.41537,13.52810,-2.89990,0.77923,0.06449
12.60097,14.18390,-0.04582,1.34167,1.06459
12.52789,13.31950,-0.63615,0.93227,0.37018
12.48077,14.38144,-1.46985,0.83801,0.14375
12.48296,13.51121,-1.88187,0.85762,0.35031
12.85418,13.46124,-2.67412,1.12068,0.76703
12.96583,14.09396,-0.02891,1.20015,0.66466
12.57875,13.64206,-1.93220,1.14125,0.01593
13.07382,14.22575,-1.55420,1.46248,0.94078
12.94048,13.93778,-2.77145,0.83438,0.85548
12.43872,13.57356,-0.70840,1.49195,0.34670
12.48999,13.21408,-1.13079,0.97713,0.20606
12.91045,13.62543,-2.42995,1.45534,0.00343
12.84090,13.59134,-0.99411,0.87672,1.20957
12.49133,13.83624,-1.58117,0.79100,0.67402
12.96604,13.84569,-1.16585,1.11431,0.84157
12.40854,13.22244,-1.01492,1.37794,1.22105
13.09018,13.56630,-0.87154,0.91961,1.25904
13.10368,13.71797,-0.10214,0.96602,0.04177
12.77514,13.91044,-0.51905,1.02615,1.11547
13.05737,13.28864,-0.70796,0.86845,0.45459
12.94932,14.20262,-1.37193,0.88839,0.00090
12.41839,13.70768,-1.42397,1.27868,0.76119
12.91985,14.19857,-2.08923,0.80929,0.69069
13.06234,13.36032,-0.34216,1.06229,1.06899
13.01283,13.46064,-2.09348,0.88041,0.56948
13.19871,13.21882,-0.75392,1.18525,0.83450
12.40941,14.13235,-2.74798,0.87896,0.11469
13.18341,13.46596,-2.57399,1.31107,1.18621
12.88800,13.83073,-0.57367,1.41716,1.22609
12.54705,13.78746,-1.96529,0.98224,0.31537
13.13507,13.92925,-2.38252,1.08363,0.74883
13.28637,14.39725,-2.07669,0.85762,0.96116
12.89919,13.46234,-1.01201,0.95560,0.27460
12.54964,13.38090,-1.25923,1.08719,0.26132
12.42246,13.82394,-0.23570,0.79062,1.44777
13.29424,13.79400,-1.37915,0.99938,0.52202
12.56558,13.83276,-0.26579,0.83600,0.53919
13.24839,13.27920,-1.46444,0.99534,0.31803
13.26738,13.96073,-0.58567,0.94292,0.02385
12.60163,13.26589,-2.10490,0.96999,1.36369
12.69420,14.37638,-0.89794,0.75576,1.29166
12.56318,13.39815,-1.83551,1.20939,0.41549
13.14248,14.18753,-2.21768,0.71557,0.76591
12.66993,13.76047,-2.11278,1.11924,0.63160
12.71014,14.01098,-0.38269,0.74817,0.20957
12.70935,13.70323,-2.07073,0.94001,0.34293
12.42270,13.62559,-2.36290,0.83131,0.66119
12.51449,13.68652,-1.56975,0.73262,1.22436
12.52084,13.77931,-1.77593,1.20720,0.38722
12.98913,13.50029,-0.09190,1.00034,0.55453
13.25393,14.15262,-0.50918,0.99770,0.45217
12.66999,13.20089,-0.51924,0.81531,1.10206
13.25810,13.83778,-0.43034,0.81648,1.10672
13.08438,13.66752,-2.25699,0.90417,0.60831
12.81675,13.27461,-2.74288,0.75112,0.01102
12.63704,13.34145,-0.35159,1.00276,0.30340
13.15339,14.35347,-1.51168,0.82850,1.10072
12.54265,13.70863,-0.05483,0.82267,0.01249
12.65957,14.30978,-0.75426,1.03393,0.60814
12.49537,14.32624,-0.56827,0.99459,1.00810
12.75261,13.46436,-2.53984,1.29800,0.06070
12.43867,13.26016,-2.01061,1.11220,0.23450
13.12675,14.07736,-0.35701,1.25978,0.47610
12.88330,14.16404,-0.86027,0.76185,0.27378
12.47563,14.21470,-1.34426,0.82664,0.12624
13.09675,13.39401,-2.32176,0.93628,0.90658
12.97277,13.26149,-0.20908,0.70791,0.51724
13.29329,13.51333,-0.18535,1.16987,0.39503
12.74558,14.24502,-2.03742,1.29816,0.54300
13.21357,13.85524,-0.27844,1.47779,1.46671
12.83247,14.03733,-0.28449,1.10487,0.62178
13.16506,14.37611,-1.00654,0.89422,1.43157
13.21783,14.06496,-2.59160,1.34428,1.15157
12.77165,14.25598,-2.91914,0.72577,1.09255
12.76588,13.60952,-2.06241,1.34414,0.53370
12.96179,14.27841,-2.61270,1.18439,1.16964
12.81070,13.67556,-1.43610,1.45195,0.47743
12.71746,13.86620,-2.69693,0.88353,0.70200
13.05832,14.28067,-2.48777,0.94062,0.01605
12.98457,13.30030,-1.01234,0.76953,1.23121
12.64997,14.32085,-2.92570,1.11189,1.00367
13.02294,13.85220,-0.97648,1.13190,1.26280
13.14790,13.29158,-0.05011,1.13033,1.39281
12.79699,14.10982,-2.45149,0.90923,0.03627
12.82581,13.68141,-0.18915,0.73645,0.49489
12.60546,14.26705,-2.88236,0.74093,0.28520
12.87767,13.74080,-2.13057,0.93154,0.55759
12.60369,14.13256,-0.84747,1.34821,1.33646
12.75632,13.48057,-1.22978,0.70112,1.08937
12.59135,13.93433,-0.56353,1.23254,1.02134
13.02629,13.54921,-0.53274,1.42428,1.25088
13.00666,13.79130,-1.59700,0.78915,0.01870
12.95596,13.35430,-0.01063,0.70755,0.07352
12.63807,13.33027,-0.77155,1.25301,0.98241
13.17190,13.67246,-2.08916,1.31705,0.26117
12.76570,14.37945,-0.94789,1.03285,0.00663
13.29775,13.25464,-0.31121,0.70778,1.35805
13.18064,13.61263,-2.51909,1.16711,0.18157
12.92489,14.39327,-1.11901,1.42443,0.53937
12.56505,13.44530,-1.58149,0.87678,0.86740
12.86470,13.99752,-1.24818,1.29734,0.69365
13.04239,13.24817,-1.59670,1.44579,1.23120
12.71061,13.85305,-2.14834,0.72033,0.65678
12.71977,13.36269,-2.02312,1.45222,0.88093
12.42372,13.94550,-0.03197,1.22490,0.10526
13.16386,13.79855,-1.04156,0.96761,0.04536
12.51661,13.81851,-2.91791,1.07282,0.56713
12.73920,13.85336,-0.92202,1.43530,0.14678
12.79434,13.66343,-0.18662,1.08974,1.41598
