# logM_cut, logM_1, logsigma, alpha, kappa
13.25569,13.60629,-0.66863,0.73278,1.39071
12.90468,13.45263,-1.68760,1.47869,1.36816
13.14741,13.31165,-1.60804,0.84238,1.21188
13.26576,13.94142,-1.16886,1.44044,0.12850
13.11591,14.29407,-1.92751,1.33407,0.23335
12.84457,13.79190,-0.54737,0.72844,0.19499
13.11573,13.58846,-1.24805,1.46164,0.49131
12.92852,13.53471,-0.36193,1.48208,0.92920
12.74208,14.18124,-2.31882,1.39645,0.89536
12.93149,14.14175,-1.52899,1.20997,0.89112
12.97477,14.08605,-0.76702,1.25144,1.26808
12.48874,14.38421,-1.70600,1.26566,0.94762
13.04923,13.87541,-1.23772,1.36899,1.20453
12.47011,13.22439,-2.83691,1.48517,0.06794
12.69876,13.67176,-1.36052,1.47508,0.73704
13.02209,14.38362,-1.72963,1.25456,1.25492
13.09891,13.94483,-2.83562,0.90991,0.12779
12.40222,14.22351,-0.35602,0.83818,0.90136
13.19408,14.03011,-0.89174,1.38944,0.89629
12.57925,13.30581,-1.91302,1.04530,0.75122
12.67906,13.97233,-0.50200,0.70848,0.68900
12.66349,13.33267,-2.91681,1.43756,0.46066
12.67505,13.86512,-0.10448,1.24124,1.30511
12.61543,13.29912,-2.99097,1.16918,0.14824
12.83725,13.74178,-1.61820,1.35680,1.15471
12.87847,13.35878,-2.41586,0.94112,1.41141
13.12470,13.56442,-1.41854,1.42326,0.37754
12.96385,14.36257,-1.15724,1.16456,0.73638
13.23278,14.02902,-1.68964,0.94668,1.48700
12.73732,14.18252,-0.67763,1.48776,1.30037
12.93702,13.77515,-1.89740,1.48531,0.32126
12.92391,13.35473,-0.19789,0.89152,0.71927
13.12308,13.95332,-2.06129,0.76151,0.72522
12.57255,13.68152,-2.51275,1.28792,0.49165
12.50557,13.57663,-1.53500,0.85004,0.34931
13.15811,13.45387,-1.88789,0.75420,0.22847
12.78030,13.62081,-1.21082,1.08869,0.91326
13.23066,14.08548,-0.99034,1.24625,0.38255
13.06543,13.33216,-0.00827,0.99556,1.16321
12.61298,14.08203,-2.30482,1.14843,0.78382
13.00801,13.41463,-2.78738,1.39325,0.33467
12.64139,13.40919,-2.72054,0.73446,0.20558
12.65003,13.76072,-2.56177,1.33816,0.26685
12.65316,13.41130,-2.73714,1.17876,0.70843
12.47158,13.21403,-0.99130,0.89644,0.56769
12.92704,13.37836,-1.17359,1.09503,0.54326
12.77076,14.32452,-1.04072,1.21370,0.16945
13.01927,13.82232,-2.31633,1.35390,0.40270
13.27717,13.25289,-1.98050,1.46634,0.27279
12.52613,13.96679,-1.50062,0.93650,0.85238
12.91163,13.90130,-1.37653,0.70890,0.99968
12.40477,14.04162,-1.02977,1.27258,0.85294
12.63887,13.78626,-0.57145,1.17981,1.31753
12.77728,13.21543,-2.50821,1.31994,1.24766
12.54777,14.13946,-2.32123,0.99551,0.40209
12.40076,13.52511,-1.47089,0.86272,0.08280
12.49115,14.27862,-0.04115,0.94861,1.05443
13.12211,14.26153,-0.29550,0.98512,0.79899
12.74826,13.83322,-1.98225,1.32022,0.58900
12.68769,13.33712,-1.64947,0.93660,1.40458
13.18242,14.37531,-1.25902,1.11708,0.46437
12.69426,14.17094,-1.97127,1.31803,1.49011
12.96053,13.83408,-0.43478,1.28303,1.09166
12.58963,13.62483,-2.50693,1.27791,0.88440
12.45545,13.28630,-0.37717,1.25247,0.22219
12.86702,14.18920,-1.71382,1.41976,0.57117
12.56878,13.25720,-1.37357,1.20197,0.84223
13.17780,14.31594,-0.81329,0.80702,0.59515
13.04036,13.44909,-1.48166,1.18053,0.43816
12.43015,13.45688,-1.98504,1.40894,0.35933
12.96874,13.95479,-2.71107,1.17512,0.06395
13.21107,13.47485,-2.78632,0.71708,0.81711
12.81752,13.22473,-0.34659,1.07349,0.99075
12.77325,13.89653,-2.04285,1.35634,1.08568
13.26591,13.82277,-1.17647,1.38794,1.01019
12.63540,14.16958,-1.56373,0.84840,0.08686
12.43878,14.05487,-0.27925,1.21343,1.40823
12.60454,13.89552,-2.67737,0.93621,1.04175
13.21485,14.31719,-1.68708,1.48059,0.88475
13.22158,13.80811,-2.68763,1.32847,0.30861
12.53575,13.24884,-1.93353,1.08747,1.10299
12.50631,13.38569,-1.63187,1.06977,0.58595
13.25792,13.34012,-2.88537,1.35171,0.98685
13.28409,13.99996,-0.05698,1.10453,1.16257
13.17763,13.83260,-0.17964,1.33715,1.10899
