# logM_cut, logM_1, logsigma, alpha, kappa
13.11928,13.98051,-0.09370,1.35422,1.46081
12.89782,14.20295,-1.98719,1.21009,0.49758
12.86510,14.14240,-1.49321,1.49002,0.00286
13.14512,14.28976,-2.31398,1.28367,1.38124
13.22274,13.96342,-1.42644,1.19464,0.96773
12.96022,14.32773,-2.98984,1.31684,0.55622
13.09757,13.74021,-1.11795,0.91932,0.46390
12.72779,14.24206,-2.11240,0.98131,0.25583
12.78011,13.77098,-0.07047,1.21813,0.45436
12.50608,13.39619,-0.27619,0.92749,0.97100
12.53427,13.36665,-0.75038,1.37107,0.00890
13.18307,13.37530,-1.82993,1.32130,0.97508
12.98136,13.86922,-2.76491,0.79830,0.40681
12.62059,14.06225,-1.85047,1.44553,0.21859
13.26577,14.03257,-1.88923,0.70492,0.75408
13.09617,13.61084,-0.92109,0.93681,0.90500
12.41441,13.79779,-1.36015,1.41381,1.24238
13.17425,13.88951,-2.06177,1.46048,1.11783
13.13646,13.50488,-2.82590,1.33318,0.73409
13.12833,13.41647,-1.29353,0.74377,0.13278
12.96017,14.02407,-0.86500,1.03804,0.89728
12.70495,13.31323,-2.24848,0.82802,1.35136
12.67616,13.43340,-2.90515,0.99756,0.37226
12.88184,14.24914,-2.39523,1.02546,0.01904
12.74947,14.07101,-0.80966,1.42597,0.66097
12.54252,14.03554,-2.82650,0.85258,1.23461
12.82281,13.41628,-0.16527,0.81559,0.19325
13.29657,13.80633,-2.46067,1.36647,1.07334
13.23699,14.17276,-0.72499,0.90111,0.42775
13.12705,13.45070,-0.01654,1.10535,0.06253
12.44607,13.64963,-1.14149,1.20944,1.31575
13.19669,14.18909,-2.04864,1.33706,1.15277
12.87226,14.22045,-2.67371,1.28759,0.93667
13.18658,13.29200,-2.62082,1.24361,0.95129
12.85950,14.19244,-2.72422,1.31600,0.60784
13.25327,13.56814,-1.57099,1.37433,1.25196
13.06709,14.04089,-0.89146,1.06839,0.10713
12.52440,14.01570,-0.63024,1.12910,0.06552
12.76120,14.37151,-1.21528,1.46728,0.04605
12.41025,13.75310,-0.93683,1.07320,0.30059
12.94938,13.65224,-0.85144,1.38043,1.00379
12.60425,13.59091,-2.12995,1.44390,0.78941
12.58223,13.40825,-1.29243,1.35559,0.53003
12.76390,14.24424,-0.84315,1.40591,1.00320
12.53903,13.83333,-1.45504,0.79665,1.07044
12.89310,14.18604,-2.45721,1.38677,0.96008
13.05903,13.34600,-2.07044,0.91034,1.19478
12.48601,13.91492,-2.26578,1.20722,0.24266
13.17972,13.31512,-1.82721,1.13423,1.02399
12.62587,13.28698,-2.79688,0.83352,1.00776
13.27134,14.31067,-2.99148,0.98140,0.08447
12.73109,13.50035,-2.59579,0.93365,0.51000
12.94368,13.45615,-0.15462,1.09519,0.78484
13.21183,13.56313,-1.34279,1.07376,1.08271
12.67585,13.70259,-1.02436,1.32021,0.22308
12.50103,13.49137,-2.42991,1.08755,1.48578
12.85902,14.27828,-2.02257,0.82748,0.90753
12.92861,13.70675,-1.07706,1.15783,0.00136
12.73048,13.81291,-1.51552,0.84225,0.24172
12.46876,13.82567,-0.05625,0.72711,0.21552
12.48821,13.45739,-0.75801,1.29507,1.26033
12.85501,14.05233,-0.63375,0.71761,1.28463
12.72744,13.71946,-0.56295,1.09928,0.57029
12.41651,14.09692,-2.73393,0.79301,1.35054
12.86680,13.30657,-1.68206,1.01998,0.79182
13.22007,13.72579,-0.70576,1.11832,0.47759
12.73909,13.99747,-1.65148,1.25727,0.77195
13.10052,14.17070,-2.50678,1.26172,1.23228
12.53737,13.31892,-2.96526,1.39115,0.45505
13.17989,13.33472,-2.02623,0.75156,0.33200
12.56932,14.11640,-0.29847,0.72903,0.49444
13.17709,13.63277,-0.15075,0.96811,0.15912
12.42207,14.06336,-1.86436,0.74703,1.38564
13.02401,13.71883,-2.43968,1.44301,0.06479
12.90314,14.33437,-2.27562,1.13064,1.08790
12.81244,13.68592,-0.27868,0.73528,1.13073
13.18809,13.88884,-1.20713,1.05259,0.56219
12.42886,13.64197,-2.91202,1.20919,0.06862
13.05477,14.01267,-2.44320,0.74752,1.32673
12.82283,14.27285,-1.40154,0.82238,1.47871
12.52641,13.85174,-0.00696,1.08350,0.36505
12.76710,13.38175,-2.17803,1.27558,0.78562
12.80244,13.95482,-2.97795,1.18988,0.07485
12.67130,13.32941,-0.75024,1.20305,0.38384
12.85877,13.66949,-2.67285,1.39195,0.18275
12.50285,13.85975,-1.46407,0.74189,0.90484
13.18778,13.45410,-1.69037,1.31607,0.82170
12.73934,14.13444,-0.39916,1.46114,1.30849
12.51613,13.61152,-2.03727,1.45988,0.69787
12.49279,13.89155,-2.79943,1.40921,0.70771
12.40146,14.19812,-0.05628,0.96573,0.41247
12.70313,14.16099,-0.80128,1.36170,1.09038
13.00531,13.29093,-0.75558,0.73405,1.12168
12.41267,14.03807,-1.81607,1.19833,0.34599
12.55550,14.22189,-0.32018,0.95961,1.42796
12.65438,13.42082,-1.74628,0.86622,0.30046
12.79142,13.29122,-0.60440,1.43029,1.47397
12.59494,13.82636,-0.27608,1.39242,1.03369
12.76634,13.37397,-0.50975,0.93337,0.00940
12.61432,13.40089,-2.73815,0.99470,0.11875
13.16778,13.55239,-0.71193,1.26890,0.07958
12.81322,13.20168,-1.29953,0.90483,1.31247
12.84160,13.23327,-0.72246,0.96982,0.70700
13.02389,14.38156,-0.72398,1.04452,1.06029
12.86224,13.50191,-1.61128,0.76981,0.76188
12.91303,14.35589,-1.46030,1.24707,0.55798
13.20778,14.24744,-2.57171,0.75136,0.38218
13.12003,14.33738,-0.06273,0.99259,1.44948
