# logM_cut, logM_1, logsigma, alpha, kappa
12.97896,13.21255,-2.00035,1.03058,1.18404
12.98582,14.03002,-0.96849,1.42168,0.59293
12.58250,14.20378,-1.33177,1.09778,0.67802
13.12226,13.71777,-1.96635,0.73865,1.19916
12.49146,13.56158,-0.06805,1.03072,0.11767
12.51798,13.77811,-1.79294,0.88666,0.17654
12.46396,13.59875,-0.19849,0.84074,1.04190
12.63086,13.82540,-2.54993,1.25346,0.57470
13.04043,13.72664,-1.88538,0.87576,0.65066
12.91813,13.74204,-2.67565,0.71555,0.32142
12.93248,13.75334,-2.82043,1.34997,0.00652
12.86160,14.38340,-0.91245,1.35463,0.53397
12.66320,13.86204,-1.75225,0.95705,0.16755
12.97296,13.61548,-0.19777,1.48564,1.40559
13.21076,13.34963,-1.58535,1.43531,0.08258
12.43892,14.06862,-0.39387,1.11977,0.78467
13.22998,14.32046,-1.53865,1.01524,1.10052
12.85311,14.34673,-2.39846,0.81114,0.69071
12.87589,14.22859,-2.85370,0.79975,0.80435
12.55871,14.20867,-1.02810,1.18253,0.45889
13.23095,13.70625,-1.43207,1.36271,1.49559
13.17046,13.65185,-1.86684,0.87777,1.35540
12.73538,14.37803,-0.76360,1.00470,1.30583
12.64405,14.25876,-0.77006,0.81187,0.98910
13.14750,13.84667,-0.93993,1.28766,0.98074
13.02569,14.18116,-1.14675,0.95178,0.62104
13.21439,14.00009,-0.95040,0.80382,0.49840
13.00689,13.51526,-2.24511,0.87547,0.32063
13.10933,13.52846,-2.81679,1.17832,0.82826
12.43665,13.83487,-1.77713,1.06053,1.45534
12.61792,13.82996,-0.98433,1.21352,0.37859
12.82037,14.39323,-1.94138,0.85590,1.33653
13.29438,14.34363,-2.25147,0.97141,0.73274
12.72586,13.85209,-1.88063,1.36544,0.05310
12.80272,14.09198,-1.11270,1.37481,0.22270
12.83180,13.57530,-1.88184,1.05606,0.58892
12.71915,13.89617,-0.86242,0.88298,0.98611
12.95351,14.09903,-2.37729,0.74579,0.55119
12.44877,13.47090,-1.33847,1.11768,0.44951
13.07017,13.44274,-2.28110,0.82728,0.58902
12.87779,13.84700,-1.26766,0.70019,1.04952
12.94112,13.53948,-2.84923,1.04898,0.23793
12.60522,14.00577,-0.05905,1.10899,1.46213
12.54645,13.89707,-1.22768,0.79178,0.35132
12.44170,13.73801,-1.20893,1.27433,1.28518
12.40997,14.17967,-1.45797,0.93333,0.11717
13.13831,13.58681,-2.83621,0.85508,0.09374
12.53306,14.17902,-0.51152,0.75746,0.92261
12.90785,13.42888,-2.18443,0.97170,0.82434
12.95992,13.50345,-0.43705,1.35080,0.89674
13.09930,13.50413,-2.54464,0.71851,0.99321
12.63011,14.33355,-1.52452,0.80150,1.32916
13.24797,13.34045,-0.63853,0.83645,0.83620
13.27764,13.65791,-0.66818,1.13834,0.94187
12.68097,14.36372,-0.27797,0.86322,0.82494
12.85474,14.18197,-2.02017,0.74258,1.19295
12.58161,13.98368,-1.79987,1.28057,1.14691
13.00779,13.55901,-0.21725,0.91581,0.39760
13.02776,13.79420,-1.37923,1.22941,1.08857
12.79733,13.75907,-1.43011,1.37410,0.81054
12.69598,13.64148,-2.94896,0.82292,1.42523
12.52261,13.48730,-0.88865,1.02138,1.33335
12.45768,13.36680,-0.51139,1.34414,0.93948
13.09290,14.14284,-2.89784,1.28430,1.23446
13.03134,13.28001,-0.31744,0.83599,0.91354
