# logM_cut, logM_1, logsigma, alpha, kappa
12.45185,13.52691,-2.13964,1.17130,0.14065
13.14570,13.54420,-0.43342,0.78859,1.00911
13.23117,13.55992,-1.04483,1.42923,0.00228
12.48941,13.36818,-1.03502,1.17305,0.85481
12.74680,14.31830,-2.54476,1.06575,0.55446
13.29251,13.78621,-1.23742,1.37562,0.80662
13.18247,13.98924,-2.86978,0.92283,1.17379
12.65643,14.02075,-1.25541,0.96932,1.38253
12.75614,13.54174,-1.21259,1.17891,1.32519
12.54153,13.96894,-1.57354,1.08621,0.71522
13.24992,13.89613,-2.02071,1.33018,0.63720
13.00269,13.99974,-0.09213,1.47013,1.38080
12.95683,13.28914,-2.13551,1.28704,0.10452
12.47081,14.18932,-2.48435,1.18229,1.12244
12.74763,14.01188,-2.08234,1.06551,0.17221
12.56853,14.04094,-0.74014,0.79997,0.20172
12.47862,13.56980,-2.64549,0.84033,0.44526
13.16842,13.24849,-0.31113,1.33034,1.08121
12.61671,13.82318,-0.86093,0.95681,0.39656
13.06437,13.69975,-2.96459,0.75809,0.65014
13.04855,14.27124,-1.57624,1.42116,0.73473
13.09105,13.63194,-0.63682,0.74595,0.68467
13.04614,13.40099,-1.19021,1.23867,0.54459
12.48025,13.60475,-1.48637,0.96219,1.10383
12.82897,13.82894,-2.31692,1.11132,1.25065
12.68059,13.37076,-2.45294,1.30245,1.21394
13.08629,14.23527,-2.52155,1.32905,1.36141
13.13665,14.31181,-1.41339,0.79679,0.32838
12.78993,13.54418,-0.25156,1.38471,0.83018
13.03803,13.42989,-2.65313,0.94289,1.04672
13.07388,13.56665,-2.61780,0.76815,0.59436
13.06534,13.56393,-2.04831,1.33593,0.31212
12.47942,13.86539,-1.63306,0.93368,0.12150
12.78760,13.27453,-0.51798,1.21028,0.35722
12.41752,13.88032,-1.95207,1.13078,1.21372
12.90009,13.90994,-1.49955,1.39234,1.19805
13.05917,14.08952,-1.21957,1.41695,0.18557
12.59166,13.20863,-1.08860,1.47194,0.98248
12.81248,13.90510,-0.42257,1.05492,0.30867
13.23070,14.09935,-2.29099,1.09533,0.39546
13.20201,14.00719,-2.68052,1.26045,0.19309
13.28827,13.62122,-2.67813,1.04545,1.02696
13.29242,13.73190,-1.99086,0.89654,0.35007
12.75825,13.68134,-2.54120,0.82071,1.09827
13.09988,13.51081,-1.01230,1.11471,0.50243
12.40956,13.96285,-1.79619,1.33899,0.08321
13.24446,14.25621,-1.42598,0.98580,1.11464
12.76910,14.29957,-0.47795,0.83488,0.57585
12.59224,13.99438,-0.26307,0.81847,0.51199
12.78009,14.37671,-2.30576,1.00279,0.01243
12.93289,14.33384,-0.83866,1.17089,0.03361
12.40946,13.51847,-1.71307,1.06628,1.39692
12.72396,14.11848,-0.12136,0.73880,1.38980
13.13677,13.87145,-1.15333,1.35206,0.74937
12.65902,13.94759,-0.48655,0.77351,1.23333
12.62266,13.46105,-1.28268,1.49542,0.36871
12.47928,13.31685,-2.77215,0.90121,0.46988
13.07413,13.49866,-1.32451,0.73006,1.30833
12.70072,14.15337,-1.56909,1.07937,1.46026
13.16625,13.21172,-1.13007,1.24372,1.27412
12.48178,14.36938,-0.67770,1.30294,0.24961
12.55812,13.87028,-2.73374,1.31960,0.25442
12.43605,13.48171,-2.77403,1.20347,0.01286
12.88913,13.36423,-0.31208,1.36053,0.87558
13.00679,13.45715,-1.36227,0.70368,0.93868
12.43735,13.22582,-0.32331,1.10786,0.65410
12.59480,14.22566,-1.79300,1.37615,0.28681
12.56258,13.78928,-1.71415,1.04301,1.27714
13.22528,13.34448,-0.91412,1.42060,1.32528
