# logM_cut, logM_1, logsigma, alpha, kappa
12.42663,13.37230,-2.38989,1.38432,1.12729
13.03984,13.96359,-2.61262,1.09971,0.92343
13.04740,14.01276,-1.20110,0.95027,0.62768
12.85927,13.48002,-1.29687,1.37553,0.87649
12.95591,14.23536,-0.78529,0.93674,1.43858
12.74874,13.90286,-0.26947,1.35882,1.06418
13.23269,14.21948,-2.78846,1.35037,0.81647
13.06055,14.03990,-0.04846,0.83847,1.09165
13.14657,14.25574,-2.17384,0.81918,0.95515
13.23738,13.53745,-1.74307,0.90292,1.33337
12.75434,13.29528,-0.74280,1.44117,0.49474
12.93922,14.11643,-0.36170,1.49431,0.59243
12.52554,13.89760,-1.72878,1.24210,1.02923
12.87193,14.27604,-1.15553,1.01581,0.79313
12.91074,14.37313,-0.84534,0.79240,1.01139
12.68095,14.24174,-1.45484,1.37611,0.66723
12.76646,13.40869,-1.21630,0.77028,1.03651
12.50149,14.15700,-2.59259,1.02084,0.88838
12.77376,14.11489,-1.73107,0.98161,1.35637
12.82791,14.02694,-1.18052,0.78188,0.64232
13.02177,13.33865,-2.63999,1.03618,0.53764
12.92443,13.23428,-2.32120,1.49728,1.36269
13.16093,14.22979,-2.97004,1.02004,0.24024
13.09601,13.98582,-1.84024,1.18242,0.40637
12.64879,13.51269,-0.47851,0.70106,1.27295
13.13219,13.90650,-0.19152,0.97347,0.78762
13.08990,14.01920,-1.05916,1.08798,0.90887
12.49817,14.20052,-1.16826,1.35650,1.14135
12.71454,13.90930,-0.38427,0.91919,1.13361
13.12106,14.29585,-1.29062,0.87585,1.27978
12.74056,13.27131,-0.06831,0.80436,0.36066
12.69776,13.46976,-2.45489,1.44415,1.26323
12.72092,13.58394,-0.19304,0.73707,1.20154
12.56986,13.62020,-1.34122,0.79870,0.50687
12.67031,14.12776,-1.07949,0.79399,1.17938
12.52219,13.47951,-2.82606,1.41910,0.09247
12.51806,13.34803,-0.20858,0.93935,0.53969
13.20435,13.41405,-0.69313,1.09561,1.47822
12.60093,14.17417,-1.57733,1.26913,0.91839
13.29557,13.52577,-2.99865,1.23858,0.71883
13.03146,14.30695,-2.74235,1.35581,1.03287
12.48204,14.08321,-1.17632,1.16044,0.85639
12.62886,14.29921,-0.93568,1.49664,1.47475
13.10230,13.69809,-2.32698,0.85849,0.76208
13.00931,14.32258,-1.83113,1.12607,0.98708
12.69296,13.90868,-0.59329,1.45678,0.50783
12.59505,13.74912,-0.54194,1.49251,1.28604
12.81974,14.13050,-2.54589,1.18645,0.19044
12.42529,13.99302,-1.06627,1.11829,0.88330
13.05137,13.92691,-0.59234,1.09034,1.46297
12.56620,13.80461,-2.58533,1.48224,1.20924
12.62064,13.57977,-1.44005,1.41933,0.38600
12.49168,13.73476,-1.24547,1.06695,1.03269
12.64176,13.34658,-1.72241,1.03921,0.36293
12.83531,14.00919,-1.13025,0.99238,0.40816
12.55274,13.44734,-2.28869,0.90446,0.05734
12.70153,14.03362,-2.51870,1.01938,1.43200
13.05308,13.39282,-1.56014,1.34456,0.14485
12.61658,14.05500,-0.49921,0.94267,0.96975
12.65492,13.20347,-0.02508,1.16352,0.27805
13.09725,13.72774,-1.28719,1.39722,0.65334
13.00927,14.03598,-2.27249,1.31307,0.37564
13.29764,14.28547,-2.06833,0.95128,0.36943
12.66497,13.68759,-2.91482,1.24563,0.54691
12.43388,13.93546,-0.75622,0.80632,0.67418
12.51245,13.27373,-1.56728,1.03252,0.56697
12.83222,14.08995,-1.51348,1.14756,0.98080
12.68927,13.94938,-2.86885,0.98205,1.31961
13.20137,13.91438,-1.97178,1.34427,1.15610
12.65952,13.33884,-0.66700,0.87677,0.24031
12.50185,14.19528,-2.64591,1.40867,1.30048
13.11631,14.18437,-1.85896,0.95109,0.68491
13.18662,13.99417,-0.41703,1.04362,1.18651
12.54904,13.21467,-2.13626,0.78224,1.10882
13.06174,13.27726,-2.22204,1.13225,0.08162
13.27386,14.16114,-0.42803,0.80986,1.43193
12.42288,14.32877,-2.39739,1.17792,0.62594
12.49856,13.97624,-2.00600,1.20270,0.91282
12.41186,13.21956,-2.43239,1.38765,1.43430
12.77459,14.22085,-0.51763,0.71084,0.04097
12.83372,13.93254,-2.19306,0.96743,1.00594
12.98860,14.38539,-1.88341,0.72065,1.17058
13.12324,14.23252,-0.71532,1.43973,0.55452
13.04960,13.31463,-2.88689,1.17607,1.34091
13.29231,13.96172,-1.50153,1.04170,1.33882
12.56353,14.33752,-1.27178,1.38249,1.11538
13.24271,13.24751,-2.50321,0.94362,0.82457
12.63947,13.69254,-0.10247,0.77560,0.22155
13.12822,13.93548,-2.36551,1.04211,0.18497
12.65340,13.68083,-0.57599,0.74361,1.06067
12.50916,13.62394,-1.07508,1.28144,0.52704
12.58923,14.28955,-0.10318,1.47834,0.85613
13.18824,14.18963,-0.84023,1.35244,0.44426
12.97845,13.66303,-0.72440,1.42036,0.00171
12.96741,13.65856,-2.61881,1.17979,1.34070
13.06959,13.60861,-1.71510,1.03180,0.30005
12.44109,13.55453,-0.52017,1.11868,0.65912
13.20850,13.63988,-1.11123,0.88076,0.08050
13.19509,14.21236,-2.20118,1.25693,0.46461
13.28201,14.38483,-1.23620,0.76515,0.09199
13.07279,13.63765,-0.46453,0.88249,1.07750
12.98621,14.01014,-1.88013,1.19468,0.23411
12.96076,14.18376,-2.86806,1.02608,1.35766
12.74628,14.02882,-1.80632,1.00271,1.41742
12.90402,14.07350,-1.11794,0.78643,1.43037
12.88228,13.27563,-0.44743,1.22572,0.40268
13.17784,14.29660,-2.87013,0.90652,0.27445
13.13810,13.63728,-2.30994,1.11115,0.14778
12.85937,13.58498,-1.29742,0.99904,0.69828
13.18515,13.52875,-1.56199,0.82201,1.47304
13.22569,13.67023,-0.41375,1.28030,0.25083
12.91967,13.35876,-0.82766,1.25197,0.51302
13.14411,13.26464,-1.47156,1.38170,0.50837
12.45063,13.31075,-1.62532,0.99280,0.57465
12.62662,13.48280,-2.11508,1.21607,1.01936
13.24245,13.98095,-1.22303,0.73127,1.28670
12.54145,13.48448,-1.46633,1.18425,1.02848
13.08885,14.34767,-1.01900,0.99485,0.32211
12.56731,13.42713,-0.27171,0.99619,0.26558
13.02676,13.31248,-2.76436,1.22363,0.89067
13.05955,14.16261,-0.52042,0.88874,0.91777
12.52039,13.37227,-2.85021,1.18979,1.09348
13.17736,14.20293,-0.58987,0.71148,0.69161
12.74378,13.89197,-0.31728,1.40609,1.25310
12.41544,13.70057,-0.44326,0.97738,0.93788
13.04168,14.30390,-1.86769,1.45723,1.01073
12.78385,13.22901,-0.75757,0.75949,0.96633
13.15176,13.63186,-2.55336,0.80994,1.13225
12.98784,13.71074,-1.08198,1.24901,0.74674
13.29144,13.73029,-2.91960,1.49630,0.92242
12.53509,13.80683,-2.31213,0.87090,0.57530
12.46468,13.26934,-2.16128,1.36856,0.32965
13.05187,13.50508,-2.68756,1.46466,1.42777
13.11216,14.22600,-1.81869,0.74371,1.32443
13.21812,13.39576,-0.86607,1.02751,1.32469
12.49123,14.06652,-2.32707,1.30943,1.04640
