# logM_cut, logM_1, logsigma, alpha, kappa
13.23616,14.34394,-0.15305,1.20563,0.83795
12.94617,13.59937,-2.56131,1.46601,1.43897
12.77551,13.48593,-0.07089,1.46105,1.43124
12.45504,14.12054,-1.91817,1.37190,1.47572
13.00218,13.21901,-0.03702,1.03741,0.62872
12.90229,13.40892,-2.86961,1.01268,0.83060
13.09989,14.15579,-2.24193,0.95471,0.25683
12.62127,13.73574,-0.74659,1.34824,0.81695
13.25770,14.34058,-2.57724,1.14219,0.45563
12.46823,14.12719,-1.04488,0.99876,0.03728
12.51492,13.21805,-2.27572,1.06896,1.33150
13.24085,13.70297,-0.26525,1.17273,1.02573
12.60375,13.40802,-2.01323,0.93999,0.41633
13.10465,14.32711,-0.09141,1.30292,0.63528
12.96108,13.53732,-0.65821,1.45026,1.19232
13.13105,13.41685,-1.96059,0.78341,0.51041
13.02323,13.75843,-2.23998,1.06864,1.22724
12.53584,14.08532,-1.09470,1.42964,0.83714
12.45964,13.27868,-0.80162,0.78191,0.19347
12.72405,14.20208,-0.89466,1.36685,1.25698
13.15020,13.71355,-0.58357,1.01847,0.43747
12.96746,13.88582,-1.44046,0.86245,0.84866
12.95572,13.69105,-0.61824,0.75510,0.49367
12.45101,13.82659,-1.64195,0.90537,0.52268
13.02265,13.39644,-0.76690,0.84989,0.19026
12.77511,13.86280,-1.15643,1.31889,1.27500
13.28207,13.50305,-2.55660,1.41957,0.10390
13.04848,13.97240,-2.01963,1.36073,0.63522
13.25356,14.19039,-0.97119,1.41173,1.11598
12.96226,13.31768,-2.75399,1.05880,1.32988
13.29672,13.71958,-1.57173,0.79783,0.88346
12.65498,14.08962,-0.39153,0.86824,0.73536
12.49132,13.32379,-2.56712,1.36080,0.88196
12.63231,14.15266,-0.12007,1.04710,0.96994
13.28670,14.11297,-2.03026,1.08585,1.34680
12.93083,13.98908,-2.69462,1.45135,1.01970
13.18764,13.96105,-0.71402,1.10923,0.04477
12.70476,13.77277,-2.64599,1.15581,1.03991
12.84931,13.36301,-1.96742,1.27048,0.07448
13.21189,13.57798,-0.47707,1.10233,0.82344
12.40696,13.88191,-0.24887,0.97139,1.31766
13.24175,13.87023,-0.87129,1.49940,0.00191
13.21937,14.24901,-1.98227,0.77095,0.38381
12.83440,13.77985,-2.65144,1.49831,1.45723
12.80957,13.44638,-2.54303,0.84894,1.43278
12.73582,14.00372,-1.21358,0.71145,0.05709
12.70732,13.34742,-2.55228,1.21107,0.09697
12.92990,13.21576,-0.55553,1.45217,0.51894
13.06682,13.23980,-2.31278,1.23616,0.35991
12.94636,13.43605,-0.94907,1.39919,1.19051
12.82714,13.98978,-0.00029,1.16628,0.93828
12.87949,13.92013,-1.19759,0.79492,0.50054
12.82384,13.64492,-2.90076,1.32980,1.17641
12.71813,13.78518,-2.65245,0.72788,0.45117
