# logM_cut, logM_1, logsigma, alpha, kappa
12.91305,13.69510,-2.92320,1.47029,0.74513
12.75096,14.26498,-2.33131,1.36552,0.10720
12.48422,14.01897,-2.10457,1.31157,0.45510
12.66072,14.08760,-1.48971,1.22033,0.03817
13.29931,14.20435,-0.80356,0.93141,1.04181
13.29184,14.35066,-1.52090,0.91708,0.49628
12.43203,13.29429,-1.17573,1.31650,0.55893
12.78089,14.09846,-2.25079,0.91086,0.99042
13.04562,13.90441,-0.37622,1.49557,1.08300
12.41392,13.26572,-1.72418,0.75018,0.71404
13.08573,14.18051,-0.24025,1.39499,0.65150
13.28939,13.71217,-0.08785,1.16833,0.98657
12.59520,13.40229,-2.55087,1.12346,0.14171
12.44706,14.36508,-0.29675,0.92755,1.47848
13.02442,13.35674,-2.21062,1.37450,0.09980
12.53401,14.11265,-2.55746,0.80257,1.34187
13.10677,14.30408,-1.38105,1.10913,1.25179
12.52007,14.19616,-0.85714,0.84221,0.82271
12.85941,14.25779,-0.22723,1.17659,0.56659
12.41223,13.76495,-2.84545,1.14323,0.34302
13.14765,13.27561,-0.03313,0.74726,1.45671
12.98083,14.26036,-1.38092,1.18620,0.39703
12.74323,14.16787,-0.61300,1.35872,1.05833
13.07183,13.98718,-1.43104,1.40404,0.94241
12.55885,13.40900,-0.65781,0.75200,1.25158
13.04166,14.08365,-1.73529,0.81403,0.79421
12.95986,13.21765,-2.40806,0.95646,0.27401
12.90212,13.88751,-2.77584,1.26041,0.76702
12.88175,13.21953,-2.86142,0.72624,1.36041
12.79898,14.30860,-0.22069,1.35471,0.04201
13.00611,13.29130,-0.72224,0.78608,0.55138
13.20935,13.25212,-1.93378,1.17996,0.50734
13.15453,13.45310,-1.53944,0.70851,0.04947
12.78720,13.58032,-2.32398,0.82707,0.49148
13.17962,14.02235,-0.40383,0.95414,0.45521
12.46787,13.39342,-1.29431,1.46911,1.39202
12.72659,13.77877,-1.49658,1.25424,0.91171
13.22455,13.49803,-1.62073,1.47569,1.24775
13.07312,14.28541,-1.81119,0.74565,0.68475
12.64258,13.63036,-1.62833,1.00978,0.16824
12.65596,13.96455,-2.24014,1.33080,0.84777
12.60985,13.87062,-0.40045,0.71515,0.23995
12.79680,13.91712,-1.63721,0.95328,1.23971
13.03859,13.43414,-0.81105,1.42102,0.95770
13.04124,14.09370,-1.72532,1.44258,0.76735
12.42089,13.25989,-2.44056,1.12330,1.36360
12.48499,13.30001,-2.66169,0.94462,1.18461
12.56502,13.21545,-1.11236,1.31088,1.46626
12.62077,13.78178,-2.85478,0.81509,1.31970
13.09082,13.86052,-0.74081,0.93933,0.50182
12.83629,13.80946,-2.54569,0.73902,1.09389
12.66536,13.35387,-0.69629,1.21485,0.93555
13.12186,14.23805,-0.49918,0.73906,1.11773
12.65874,13.40953,-1.54397,1.41429,0.13650
12.46900,13.42637,-2.64664,0.80847,0.63187
13.04639,13.84316,-1.06951,1.16733,1.18457
13.01127,13.56600,-2.67024,0.97012,0.42508
13.09976,14.39936,-1.28705,1.42394,1.40066
13.10850,13.45632,-1.56310,1.20448,0.38940
13.16102,14.06828,-1.46835,1.11747,0.67787
12.46458,13.75931,-0.96747,1.12637,0.91418
12.84787,14.39981,-0.95067,1.48482,1.05133
12.80660,13.62315,-1.03505,1.42510,1.29319
13.24899,14.00260,-1.38732,1.04830,1.06580
13.27198,13.81618,-2.78903,1.26169,1.24665
12.68525,13.81767,-2.57182,0.98487,1.24691
12.80530,13.67005,-1.77028,1.38704,0.04267
12.53291,13.31570,-1.24008,0.78532,1.20640
13.15242,13.22356,-2.85505,1.01609,0.67860
12.51542,13.58701,-2.11319,1.05808,1.19874
12.42305,13.95765,-0.18124,1.36249,0.76056
12.76465,13.33061,-1.24146,0.70939,1.00248
13.01145,13.20033,-2.47932,1.25579,0.77641
12.52343,14.21922,-2.21440,1.07162,1.27136
13.12700,13.85857,-1.21507,1.11075,0.39472
12.86061,13.98144,-2.87274,1.24891,0.81989
12.45358,14.25369,-0.54670,0.81426,0.02417
13.27962,13.47813,-0.54644,1.37938,0.49077
13.04147,13.26546,-0.71054,1.37363,1.15583
12.92472,14.32339,-0.73477,0.89377,0.30193
12.54935,13.76029,-2.84674,1.09857,0.51370
12.64547,13.57065,-0.98297,1.19984,0.40664
12.83580,14.12068,-0.10604,1.41303,0.52315
12.53363,13.98874,-1.83617,0.96502,0.92872
12.59720,13.56444,-1.22973,1.00884,1.38673
13.13845,13.53853,-1.13388,0.81313,0.75257
12.59418,13.71572,-0.99728,1.19854,0.29080
12.61021,13.50218,-1.87931,0.80476,0.36626
12.44903,13.60725,-0.24816,1.48419,1.44741
13.15808,13.53129,-1.26396,0.89159,0.55793
12.89084,14.28061,-0.56573,1.23203,0.50147
12.57107,13.89179,-0.39983,1.13262,1.02968
12.75237,13.58651,-2.92691,1.42152,1.29154
13.05675,14.19517,-2.13127,0.87345,0.22523
13.15697,14.20144,-0.51276,1.34473,0.11189
12.93605,14.00941,-0.39874,0.92014,0.48185
13.12551,13.28619,-1.27882,1.30310,0.77925
12.66392,13.33100,-1.16986,0.92294,0.85293
12.51935,13.96391,-1.51977,0.87086,1.46341
13.18111,14.04745,-1.72260,0.81541,1.19972
13.18650,13.25894,-0.83706,1.31140,1.08927
13.15397,13.26509,-2.98353,0.72279,0.27597
12.60088,13.23753,-2.54139,0.71983,0.08363
13.23712,13.58211,-2.72630,1.41042,0.24814
12.68393,13.44466,-2.26686,1.35782,1.01683
13.03520,13.21387,-1.73871,1.12207,0.25716
13.02451,14.08896,-1.36821,0.96507,0.90942
12.59868,13.68203,-2.63807,1.39313,0.57393
12.86862,13.59954,-1.93014,0.71021,0.71611
13.02614,13.79859,-1.77237,1.40305,0.96719
12.50435,14.32729,-2.58050,0.94807,0.49201
12.93290,13.29743,-2.41195,1.33748,0.48563
12.81841,13.51096,-2.22982,1.48028,1.48106
12.79228,14.09525,-0.68719,1.05797,0.72994
12.83089,14.09594,-1.35926,1.32050,0.55908
12.61945,14.30369,-1.31262,0.73937,0.73722
12.47816,13.97937,-0.35390,1.16108,1.27492
12.56977,13.64763,-0.06291,1.45671,0.30845
13.02539,13.59887,-0.79311,0.71570,1.09168
12.62896,13.40818,-0.10694,1.20602,0.20213
12.69004,14.38727,-0.15187,0.75408,0.48344
12.56398,14.37391,-0.03710,0.71259,0.93502
12.79620,14.30742,-1.45195,1.10330,0.02136
12.83830,14.37006,-2.25139,1.45441,0.66330
12.57862,13.65182,-2.90686,1.38664,0.74772
13.24128,13.74074,-0.89073,1.23144,0.58944
12.85004,13.79065,-1.10505,1.44491,1.06219
12.76318,13.58743,-2.99403,0.96206,1.33008
13.23231,14.16028,-2.95737,1.27592,0.94734
12.75425,13.25412,-0.40109,1.00063,0.54229
12.67008,13.39911,-2.38897,1.26882,0.53203
