# logM_cut, logM_1, logsigma, alpha, kappa
12.83130,14.38498,-0.18595,0.75743,0.22709
13.21872,14.03417,-1.91924,1.00407,0.31316
13.18552,14.39582,-0.47097,1.45855,0.55407
12.72522,13.32552,-1.56118,0.77474,0.83707
13.22005,13.40474,-1.18575,1.37248,1.22086
12.96728,13.80497,-2.14108,1.04454,1.05822
13.18173,14.13725,-0.38816,1.16316,0.34399
12.61954,13.27398,-0.17520,0.86575,1.28608
13.21201,14.04231,-2.96480,1.30624,0.32172
13.01988,13.59053,-2.76461,1.30548,1.44834
12.94765,13.43736,-1.65048,0.85988,0.78876
13.07552,13.95984,-0.16042,0.86901,0.79292
12.84109,13.68332,-1.47134,1.33881,0.21501
13.08012,13.41704,-0.13873,1.06279,0.37126
12.96481,13.44547,-1.30107,0.75615,0.40283
12.47291,14.34895,-1.50864,1.02021,0.11110
12.77038,13.43630,-2.98389,1.48710,1.30074
12.99387,14.38842,-0.39268,1.17780,0.14034
12.82334,13.67124,-0.53394,1.37637,1.17017
13.18344,13.93394,-0.73211,1.15189,1.35523
12.84505,14.10218,-1.30908,0.71679,0.29134
13.27918,13.27133,-0.10957,0.92945,0.99345
13.28518,13.41259,-1.36950,0.75511,1.04437
12.63959,13.50640,-1.58450,1.44348,1.29794
13.26748,13.38435,-2.18509,0.80078,1.35885
12.68392,13.58983,-0.31963,1.07611,1.43558
12.53422,14.38407,-1.11191,1.05771,0.28511
13.02859,13.57767,-0.33779,0.83321,1.25388
13.21669,14.20027,-2.83682,1.46447,0.42313
13.07905,13.91667,-2.42577,1.44615,0.20258
12.46182,13.32581,-0.11579,1.14669,0.64280
12.68129,14.09518,-2.96412,1.36286,0.23522
12.52456,13.24382,-1.69505,0.85723,0.38733
13.13906,14.11146,-1.85789,0.92302,1.48527
12.71932,14.39115,-2.22272,1.42512,0.85428
12.91375,13.68710,-1.60424,0.91585,0.49434
12.99127,13.35889,-1.42710,0.86661,0.12059
12.99893,13.83467,-2.30577,0.94744,1.16557
12.98950,13.65609,-1.39224,1.10510,0.78616
12.83678,14.32911,-2.37475,1.05097,0.13155
12.58714,13.60289,-1.00784,0.79888,1.22119
